Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Calendar Year (Jan-Dec),DJF,MAM,JJA,SON,Climate Year [1] (Dec-Nov),Climate Year [2] (Nov-Oct),Water Year (Oct-Sep),NDJFM,MJJAS
2001,1.3,3.5,-2.1,1.4,2.2,1.9,-2.2,3.8,0.5,1.9,6.0,8.5,2.2,0.1,0.5,1.2,2.8,1.2,0.7,0.6,-0.2,1.2
2002,8.3,7.2,2.3,3.2,-2.2,0.6,1.6,3.5,3.8,-1.5,-0.5,0.3,2.2,8.0,1.1,1.9,0.6,2.9,3.4,3.7,6.5,1.5
2003,-4.7,-2.5,0.6,-0.9,-1.2,-0.5,0.1,3.1,1.6,-1.3,4.4,2.7,0.1,-2.3,-0.5,0.9,1.6,-0.1,-0.5,-0.5,-1.4,0.6
2004,-6.3,1.5,3.6,1.6,4.1,-1.3,-0.8,0.4,2.3,0.3,2.5,1.5,0.8,-0.7,3.1,-0.6,1.7,0.9,1.0,0.9,1.2,0.9
2005,-0.4,3.7,-2.6,3.0,-3.6,4.2,2.3,3.7,4.1,2.1,3.6,-0.4,1.6,1.6,-1.1,3.4,3.3,1.8,1.7,1.6,0.9,2.1
2006,9.7,3.7,1.7,3.5,1.0,1.4,2.8,0.9,-0.6,-0.7,5.9,9.0,3.2,4.3,2.1,1.7,1.5,2.4,2.2,2.4,3.7,1.1
2007,5.4,-4.5,0.4,-1.5,1.9,1.8,-1.0,1.7,2.8,6.7,-0.2,1.2,1.2,3.3,0.3,0.8,3.1,1.9,2.4,1.8,3.2,1.4
2008,5.0,2.9,-0.7,4.4,-2.2,2.8,1.4,-0.8,1.8,-1.1,0.6,2.2,1.4,3.0,0.5,1.1,0.4,1.3,1.2,1.9,1.6,0.6
2009,-4.6,3.7,1.7,3.0,0.8,-1.0,-2.7,2.4,-0.4,-2.0,5.7,1.0,0.6,0.4,1.8,-0.4,1.1,0.7,0.3,0.4,0.7,-0.2
2010,2.6,3.4,7.3,6.2,3.8,2.5,3.5,2.4,2.7,0.9,1.8,-0.8,3.0,2.3,5.8,2.8,1.8,3.2,3.5,3.3,4.0,3.0
2011,-1.0,1.6,0.7,2.4,3.1,1.6,3.3,1.7,3.6,1.7,6.2,7.0,2.7,-0.1,2.1,2.2,3.8,2.0,1.6,1.6,0.5,2.7
2012,5.5,8.1,11.1,2.2,5.3,0.8,3.2,2.9,0.9,2.9,-0.7,6.7,4.1,6.9,6.2,2.3,1.0,4.1,4.7,4.6,7.6,2.6
2013,3.7,2.8,0.4,1.3,2.0,1.3,3.1,-0.1,0.0,2.8,-1.2,0.9,1.4,4.4,1.2,1.4,0.5,1.9,1.9,1.9,2.6,1.3
2014,-2.7,-1.5,-6.3,0.8,1.7,1.7,0.0,-0.5,1.3,3.2,-1.2,5.9,0.2,-1.1,-1.3,0.4,1.1,-0.2,-0.2,-0.2,-2.2,0.8
2015,-2.6,-10.4,-4.5,0.8,6.0,-0.2,0.1,2.1,5.8,-0.3,5.9,13.7,1.4,-2.4,0.8,0.7,3.8,0.7,0.1,0.4,-2.6,2.8
2016,3.4,5.6,6.5,-0.4,1.0,1.1,2.3,4.7,4.2,2.7,3.8,2.6,3.1,7.6,2.4,2.7,3.6,4.1,4.2,4.0,7.0,2.7
2017,7.6,8.9,-2.0,5.9,-0.3,1.0,0.4,-0.3,3.7,6.7,0.2,-1.5,2.5,6.4,1.2,0.4,3.5,2.9,3.2,2.8,4.2,0.9
2018,-0.3,8.3,-0.4,-3.2,5.2,0.2,2.6,4.6,4.6,0.3,-2.7,3.6,1.9,2.2,0.5,2.5,0.7,1.5,1.7,2.2,1.3,3.4
2019,0.6,3.1,-1.0,2.6,0.6,0.1,3.1,1.4,2.0,2.7,-2.8,3.3,1.3,2.4,0.7,1.5,0.6,1.3,1.3,1.1,0.7,1.4
2020,7.5,6.3,6.0,-1.3,-0.4,2.0,4.5,2.9,1.1,1.4,5.3,5.2,3.4,5.7,1.4,3.1,2.6,3.2,2.5,2.7,4.1,2.0
2021,5.0,1.5,4.3,,,,,,,,,,,3.9,,,,,,,4.3,
